Location;XYZCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
H-10-21;X;"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0";"8N10W9;8.0"
J-09-23;X;"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5";"05W6TK;8.5"
J-13-21;X;"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0";"05W6TK;8.0"
H-14-23;X;"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5";"SMMRK3;10.5"
I-09-11;X;"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5";"05W6TK;10.5"
I-10-12;X;"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5";"8N10W9;8.5"
I-14-12;X;"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0";"I2B1FH;9.0"
I-13-13;X;"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0";"WRRW1W;12.0"
I-09-21;X;"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0";"8D9SAW;10.0"
I-10-22;X;"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0";"I2B1FH;10.0"
I-13-23;X;"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0";"8D9SAW;9.0"
I-14-22;X;"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0";"6M2FJM;9.0"
J-09-12;X;"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0";"SMMRK3;12.0"
J-13-12;X;"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5";"WRRW1W;8.5"
H-08-13;X;"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0";"WRRW1W;8.0"
J-09-22;X;"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0";"JEGRCL;9.0"
J-13-22;X;"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0";"2T1DJM;10.0"
H-16-11;X;"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0";"JEGRCL;10.0"
H-08-23;X;"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0";"2T1DJM;11.0"
