Location;ABCCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
A-22-12;C;"VC1711;8.0";"7601AF;8.0";"2265XP;10.5";"QP56BU;4.0";"12123XPJ;7.0";"ASG1IT;11.0";"5750GT;13.0";"ETU70R;9.0";"SVJZKL;14.5";"VWXLZJ;12.5";"2035XP;5.5";"FQ53YY;9.0";"4ILN0A;11.5";"2019XPC22;11.0";"4E1WTK;16.0";"VF007;6.5";"2161XP;12.0";"GPBMZJ;11.0"
A-22-13;C;"8746CH;7.5";"2209XP;6.0";"VT10013;13.5";"6300MG;7.0";"PP9DNA;6.0";"02MRUH;4.0";"QXS5D1;10.5";"02MRUH;6.0";"9KZ6W1;6.0";"2251XPJ;11.5";"QM2UH1;11.0";"LOTB21;12.5";"5790AG;11.0";"5701GTR;14.0";"ODZZLY;11.5";"CST1KC;8.5";"F98BNI;15.0";"5790AG;13.0"
A-22-21;C;"6MKIC6;8.0";"2010XP;16.0";"CVU3QV;9.0";"9KZ6W1;12.5";"GPBMZJ;8.0";"9800DLX;7.5";"SVFO5S;8.0";"QP56BU;12.5";"UCRNWD;13.5";"102SP;4.0";"066BOU;10.0";"9901DLX;5.0";"7972TR;8.5";"12261XP;14.5";"VF006;10.5";"7580AF;7.5";"JWTWL1;15.5";"VF003;11.0"
A-22-22;C;"5701GTR;9.5";"2017XP;5.0";"QXS5D1;9.0";"9KZ6W1;9.5";"4E1WTK;6.0";"12261XP;13.0";"7GC57K;15.5";"S90CD9;6.0";"5706GT;8.5";"VC1711;13.5";"2135XP;7.0";"102SP;5.0";"7783TR;9.0";"4161XP;13.5";"2149XPC;8.5";"EYEOXS;8.5";"A19092;14.0";"VF003;12.0"
A-22-23;C;"5691GT;14.5";"VT10013;11.5";"7820TR;7.0";"JWTWL1;7.5";"RUUOCB;10.0";"EBKM6C;12.5";"2041XPC;10.5";"A19092;8.5";"7902TR;13.5";"2286XP;7.5";"YXGRMP;8.0";"NM6C73;6.5";"9800DLX;9.5";"7620AF;10.0";"EYEOXS;9.5";"6WT73N;12.0";"2312XPJ;7.0";"YRRNGL;15.0"
A-24-11;C;"UMKYTJ;9.5";"A19092;7.5";"7960VI;10.0";"102SP;7.5";"7783TR;15.5";"8199JV;15.5";"ODZZLY;14.5";"3120QD;7.5";"JGP0ID;6.0";"4E1WTK;4.0";"SY1DDY;5.0";"DSQXYR;4.0";"4E0KXI;6.5";"9S4AF8;9.5";"E2ES5Z;14.0";"VF007;6.5";"5X8RAN;14.0";"W518XY;16.0"
A-24-12;C;"H1I7JZ;8.0";"MLV9BR;6.0";"5X8RAN;10.5";"7820TR;14.5";"VT30012;7.0";"IJBSQT;9.0";"W518XY;11.0";"9922DLX;11.0";"9900DLX;12.5";"066BOU;9.5";"IPGA7X;4.0";"102SP;15.5";"7816JV;8.5";"6WT73N;11.0";"VWXLZJ;5.0";"2133XP;11.5";"452687JV;16.0";"VF005;10.0"
A-24-13;C;"YXGRMP;10.0";"63KAC1;5.0";"2027XP;15.0";"12123XPJ;9.5";"7601AF;10.5";"EBKM6C;6.5";"7100B9;7.0";"PY5UPB;8.5";"2225XP;5.5";"2149XPC;11.0";"6WT73N;12.0";"8622FLX;9.0";"TQBVRI;13.5";"2002XP;16.0";"37VA62;12.5";"PP9DNA;11.5";"F7LULH;6.0";"2017XP;10.5"
A-24-21;C;"12133XPJ;5.5";"8551FLX;10.5";"W518XY;5.0";"IAKTYD;5.0";"2274GT;12.0";"3120QD;11.0";"TLFT43;11.5";"VF007;4.5";"W518XY;5.5";"5752AG;7.0";"8622FLX;4.0";"7100B9;10.5";"NM6C73;7.0";"5790AG;4.0";"CST1KC;8.0";"UDF17E;4.0";"5X8RAN;12.0";"6MKIC6;5.0"
A-24-22;C;"VF002;13.5";"8551FLX;10.5";"APQKWK;12.5";"6N3PKW;10.5";"7820TR;6.0";"H51IVV;8.0";"VT30012;13.5";"8707CH;14.0";"YRRNGL;9.5";"2010XP;16.0";"H51IVV;4.0";"YRRNGL;6.0";"YRRNGL;8.5";"801PG;7.0";"2149XPC;13.5";"2135XP;12.0";"5791GT;6.0";"QOMHJ2;10.0"
A-24-23;C;"C5O9C9;14.5";"IPGA7X;12.5";"ASG1IT;11.0";"QM2UH1;5.0";"IJBSQT;14.0";"63KAC1;7.0";"VF003;12.5";"RBKNR4;16.0";"02MRUH;4.0";"5701GTR;8.5";"VC1711;14.5";"ZVUW6Z;11.0";"6N3PKW;6.0";"7580AF;8.0";"IJBSQT;4.0";"8707CH;12.0";"12123XPJ;14.5";"ZVUW6Z;9.5"
B-13-11;B;"2700GT;15.0";"5HQR89;13.5";"70EPUK;6.0";"2LPO6D;6.0";"Q164T6;6.0";"TNZ1OO;5.0";"A7MDBC;8.5";"Y813MQ;11.5";"O7TSVL;6.0";"5HQR89;13.0";"HLOISD;15.0";"BLJLMQ;16.0";"70EPUK;9.0";"M67GNC;10.0";"9820DLX;13.0";"AB9XBU;5.5";"32ZKOX;6.0";"XFQ9CP;7.5"
B-13-12;B;"V6K6JX;14.5";"JUUL5B;5.5";"YKQY4X;12.5";"70EPUK;11.0";"J2URNJ;10.0";"ZGYCSW;12.0";"HLOISD;12.0";"D8AMD3;11.5";"70EPUK;13.0";"2Z7ZEP;4.0";"UNPPMJ;9.5";"N6JU7C;6.0";"1ENECA;8.0";"ULG3QT;15.0";"ZX6MUV;12.5";"0SJH1Z;14.5";"QVFB0Q;7.5";"F73ZE1;12.0"
B-13-13;B;"U8203G;11.5";"PZUF7K;8.0";"YF0X2Z;11.5";"EQQBND;9.0";"2Z7ZEP;14.5";"IYXV3Z;5.5";"BLJLMQ;8.5";"O7AXAK;5.0";"IYXV3Z;4.5";"5HQR89;5.0";"QTMT7N;4.5";"ULG3QT;4.0";"Q164T6;14.0";"2Z7ZEP;10.0";"6300VTAG;12.0";"2700GT;10.0";"0LNUOV;8.5";"NJVZEL;5.5"
B-13-21;B;"9820DLX;11.0";"JUUL5B;9.5";"AX7BJ8;9.5";"XFQ9CP;7.5";"KZ5VR3;8.5";"D8AMD3;7.0";"X31OGS;7.0";"YE890X;12.5";"Z26SRT;10.5";"T3NVTG;13.5";"UU4A1K;9.0";"JUUL5B;11.5";"84ABYS;12.5";"2700GT;10.0";"70EPUK;15.0";"UU4A1K;4.5";"EUMBM7;11.5";"4SD17H;15.5"
B-13-22;B;"BLJLMQ;5.0";"BLJLMQ;9.5";"ZGYCSW;13.0";"70EPUK;5.0";"ZX6MUV;16.0";"QVFB0Q;4.0";"M8W7TS;7.0";"K3YA1X;10.5";"0SJH1Z;15.5";"JCNON3;4.5";"5P2MVG;8.5";"5P2MVG;9.5";"HOUJQN;7.0";"TAHFOD;12.5";"5P2MVG;14.0";"541SP;13.0";"0SJH1Z;12.5";"EUMBM7;14.5"
B-13-23;B;"EQQBND;13.0";"70EPUK;14.5";"J3FI7N;9.5";"U8203G;16.0";"HLOISD;12.0";"84ABYS;11.0";"1ENECA;15.0";"XPZSZ1;6.5";"F73ZE1;12.5";"32ZKOX;4.5";"FJ25W1;10.5";"Y813MQ;6.5";"AX7BJ8;9.5";"K3YA1X;9.0";"HA0BOB;13.0";"XFQ9CP;5.5";"U8203G;4.5";"JUUL5B;10.0"
B-14-11;B;"YKQY4X;10.0";"F73ZE1;4.0";"EQQBND;14.0";"0SJH1Z;10.0";"ZGYCSW;9.5";"KZ5VR3;14.5";"PZUF7K;8.5";"F73ZE1;12.0";"XPZSZ1;5.0";"N6JU7C;12.0";"2Z7ZEP;14.5";"NJVZEL;4.5";"1ENECA;4.0";"HLOISD;15.0";"3LQL9L;14.0";"Z26SRT;4.0";"0LNUOV;14.0";"9KHDG3;12.0"
B-14-12;B;"NISP6K;7.5";"8490FLX;5.0";"EQQBND;6.0";"F29V5I;13.5";"Q164T6;12.5";"XPZSZ1;13.5";"2700GT;14.0";"XPZSZ1;13.0";"F73ZE1;9.5";"IYXV3Z;5.0";"HI2X6U;13.0";"TAHFOD;6.0";"D8AMD3;9.5";"DNLEH7;11.0";"J2URNJ;10.5";"5P2MVG;6.5";"HA0BOB;11.5";"ULG3QT;11.0"
B-14-13;B;"KZ5VR3;5.0";"8BSFSA;5.0";"8BSFSA;16.0";"EQQBND;6.5";"X31OGS;7.5";"DNLEH7;13.0";"TOENMT;8.0";"70EPUK;4.5";"4SD17H;11.5";"ZGYCSW;16.0";"0SJH1Z;6.0";"NISP6K;11.5";"O7TSVL;8.5";"JCNON3;10.5";"M67GNC;14.5";"BLJLMQ;6.5";"0LNUOV;4.0";"TNZ1OO;12.0"
B-14-21;B;"9820DLX;7.0";"TAHFOD;14.0";"32ZKOX;10.5";"FJ25W1;7.0";"XLTRGL;11.5";"HI2X6U;7.5";"NJVZEL;8.5";"FJ25W1;12.0";"Z26SRT;10.5";"ZGYCSW;15.5";"NISP6K;6.0";"JUUL5B;11.0";"EUMBM7;9.5";"6300VTAG;6.5";"DNLEH7;5.5";"9920DLX;10.5";"9KHDG3;10.5";"32ZKOX;12.5"
B-14-22;B;"UNPPMJ;8.5";"ZGYCSW;15.5";"BLJLMQ;4.5";"YKQY4X;4.5";"UU4A1K;14.0";"F73ZE1;15.5";"UNPPMJ;4.5";"JCNON3;12.0";"QVFB0Q;8.0";"84ABYS;5.5";"QVFB0Q;12.0";"HI2X6U;14.0";"IYXV3Z;13.5";"M8W7TS;8.5";"JUUL5B;8.5";"9KHDG3;6.0";"D8AMD3;6.5";"NISP6K;4.5"
B-14-23;B;"M67GNC;8.5";"HLOISD;10.5";"YKQY4X;5.5";"YKQY4X;12.5";"AB9XBU;7.5";"F73ZE1;9.0";"HA0BOB;7.5";"X31OGS;11.0";"DNLEH7;10.0";"EUMBM7;15.0";"541SP;13.5";"32ZKOX;11.0";"FJ25W1;10.5";"DNLEH7;10.0";"9920DLX;14.5";"PZUF7K;5.0";"HOUJQN;8.0";"K3YA1X;13.5"
B-15-11;B;"1D2ILZ;7.5";"U8203G;4.0";"0SJH1Z;16.0";"9820DLX;12.5";"9820DLX;15.0";"2Z7ZEP;9.5";"K3YA1X;5.5";"N6JU7C;15.0";"JCNON3;12.5";"9920DLX;16.0";"XPZSZ1;9.5";"QTMT7N;14.0";"UU4A1K;12.5";"ULG3QT;6.5";"3LQL9L;16.0";"Y813MQ;10.0";"HOUJQN;6.0";"M67GNC;10.0"
B-15-12;B;"FJ25W1;15.0";"YF0X2Z;10.0";"4SD17H;15.5";"Z26SRT;10.0";"QTMT7N;11.5";"Y813MQ;13.5";"ULG3QT;13.5";"Z26SRT;6.5";"8490FLX;8.0";"DNLEH7;15.5";"IYXV3Z;13.0";"5HQR89;10.0";"TNZ1OO;9.0";"BLJLMQ;15.0";"TOENMT;15.5";"TNZ1OO;11.0";"HOUGRO;8.0";"TNZ1OO;13.0"
B-15-13;B;"D8AMD3;8.5";"BLJLMQ;9.0";"V6K6JX;12.5";"D8AMD3;10.0";"0SJH1Z;8.5";"84ABYS;8.5";"2LPO6D;10.5";"HI2X6U;13.0";"NISP6K;15.0";"2LPO6D;6.0";"2700GT;6.5";"O7TSVL;8.5";"T3NVTG;13.0";"ZGYCSW;14.0";"EQQBND;9.0";"TNZ1OO;6.0";"TAHFOD;12.0";"8490FLX;11.5"
B-15-21;B;"3LQL9L;13.0";"KZ5VR3;10.0";"2700GT;13.5";"84ABYS;15.5";"Z26SRT;14.0";"AB9XBU;7.5";"DNLEH7;4.5";"QVFB0Q;16.0";"ZX6MUV;16.0";"D8AMD3;12.0";"T3NVTG;7.0";"EUMBM7;12.5";"O7TSVL;8.5";"6300VTAG;15.5";"9920DLX;8.5";"K3YA1X;12.5";"A7MDBC;10.5";"J2URNJ;6.5"
B-15-22;B;"AX7BJ8;7.0";"0SJH1Z;7.5";"1D2ILZ;6.5";"F29V5I;16.0";"D8AMD3;12.0";"NJVZEL;12.0";"N6JU7C;10.5";"J3FI7N;5.0";"XLTRGL;7.0";"V6K6JX;9.0";"O7AXAK;12.0";"T3NVTG;13.0";"ZX6MUV;7.0";"HOUJQN;16.0";"HOUJQN;5.5";"Y813MQ;8.0";"1ENECA;14.0";"2700GT;13.5"
B-15-23;B;"NISP6K;9.0";"NISP6K;6.0";"HLOISD;12.0";"M67GNC;11.0";"F29V5I;13.0";"9820DLX;14.5";"K3YA1X;5.5";"T3NVTG;15.5";"8490FLX;12.0";"84ABYS;7.5";"NISP6K;6.5";"XLTRGL;5.0";"J2URNJ;5.0";"NJVZEL;14.5";"A7MDBC;13.5";"XLTRGL;14.0";"HLOISD;13.5";"YKQY4X;13.0"
B-16-11;B;"O7TSVL;16.0";"0LNUOV;11.0";"UNPPMJ;15.0";"TAHFOD;10.0";"Y813MQ;5.0";"EUMBM7;5.5";"XLTRGL;15.0";"3LQL9L;11.0";"YF0X2Z;6.0";"AB9XBU;10.0";"8BSFSA;15.5";"XPZSZ1;10.0";"ULG3QT;10.0";"ULG3QT;13.5";"U8203G;13.5";"QVFB0Q;4.5";"IYXV3Z;14.5";"O7AXAK;15.5"
B-16-12;B;"TNZ1OO;5.0";"JUUL5B;11.0";"0SJH1Z;4.5";"ZX6MUV;6.0";"541SP;7.0";"F29V5I;13.5";"BLJLMQ;15.0";"YF0X2Z;8.5";"HOUGRO;15.5";"JUUL5B;15.5";"J2URNJ;7.5";"T3NVTG;4.5";"8490FLX;11.0";"J2URNJ;16.0";"J2URNJ;4.0";"Q164T6;13.5";"F29V5I;12.0";"D8AMD3;4.5"
B-16-13;B;"D8AMD3;8.0";"0LNUOV;5.5";"XPZSZ1;13.5";"3LQL9L;5.0";"YKQY4X;15.0";"XLTRGL;14.0";"5HQR89;15.5";"0LNUOV;11.5";"2700GT;10.0";"2LPO6D;15.0";"UNPPMJ;14.5";"V6K6JX;15.0";"1D2ILZ;4.0";"XFQ9CP;12.0";"TNZ1OO;7.0";"O7AXAK;13.0";"0LNUOV;7.0";"8BSFSA;13.0"
B-16-21;B;"BLJLMQ;12.5";"JCNON3;7.0";"F73ZE1;15.5";"M8W7TS;7.5";"4SD17H;13.5";"HLOISD;7.0";"ULG3QT;14.5";"Y813MQ;14.5";"5HQR89;9.5";"YKQY4X;16.0";"8490FLX;10.5";"M67GNC;5.0";"F73ZE1;4.5";"HA0BOB;5.5";"9920DLX;8.5";"TAHFOD;10.5";"YKQY4X;6.5";"EUMBM7;12.0"
B-16-22;B;"AB9XBU;4.0";"70EPUK;13.0";"QTMT7N;9.0";"F29V5I;6.0";"1D2ILZ;9.5";"QVFB0Q;5.0";"1ENECA;7.5";"ULG3QT;11.0";"HLOISD;10.5";"Y813MQ;12.5";"HI2X6U;11.0";"QTMT7N;10.0";"M67GNC;10.5";"N6JU7C;6.0";"EUMBM7;8.0";"Y813MQ;14.0";"8490FLX;11.5";"J3FI7N;15.5"
B-16-23;B;"QVFB0Q;15.0";"32ZKOX;13.5";"0SJH1Z;7.5";"NJVZEL;10.0";"HA0BOB;14.0";"HI2X6U;11.5";"84ABYS;9.0";"QVFB0Q;14.5";"FJ25W1;9.0";"0LNUOV;12.0";"YKQY4X;14.0";"70EPUK;9.0";"XLTRGL;6.5";"EQQBND;10.5";"YE890X;4.5";"X31OGS;11.0";"Q164T6;6.0";"T3NVTG;13.0"
B-17-11;B;"HI2X6U;14.5";"541SP;10.5";"NJVZEL;16.0";"6300VTAG;7.5";"HLOISD;9.5";"O7AXAK;13.5";"DNLEH7;8.0";"N6JU7C;10.5";"O7AXAK;10.0";"EUMBM7;8.5";"8490FLX;5.0";"2LPO6D;14.0";"QVFB0Q;4.0";"1ENECA;12.5";"XFQ9CP;12.5";"HOUJQN;15.0";"HI2X6U;11.5";"HI2X6U;13.5"
B-17-12;B;"HOUJQN;4.0";"4SD17H;12.0";"K3YA1X;13.5";"8BSFSA;16.0";"O7TSVL;12.0";"0LNUOV;14.0";"HA0BOB;11.0";"NISP6K;7.5";"NISP6K;12.5";"2700GT;7.5";"UNPPMJ;14.0";"5P2MVG;5.0";"XFQ9CP;7.0";"HI2X6U;6.5";"FJ25W1;11.0";"M67GNC;16.0";"JCNON3;11.5";"TAHFOD;7.5"
B-17-13;B;"YE890X;9.0";"BLJLMQ;4.5";"T3NVTG;15.0";"2LPO6D;4.5";"DNLEH7;11.0";"6300VTAG;7.0";"KZ5VR3;5.0";"70EPUK;8.0";"Q164T6;4.0";"5HQR89;14.5";"U8203G;10.0";"K3YA1X;4.5";"IYXV3Z;16.0";"YE890X;4.5";"J2URNJ;4.5";"HI2X6U;6.0";"BLJLMQ;15.5";"3LQL9L;4.0"
B-17-21;B;"HLOISD;14.0";"FJ25W1;7.5";"9KHDG3;14.0";"T3NVTG;5.5";"YE890X;8.5";"HOUJQN;12.5";"D8AMD3;10.0";"T3NVTG;4.5";"J2URNJ;13.5";"ZGYCSW;4.5";"YF0X2Z;13.0";"U8203G;8.0";"8490FLX;12.5";"2LPO6D;16.0";"K3YA1X;8.0";"D8AMD3;13.0";"AX7BJ8;14.0";"YKQY4X;13.5"
